X;Y;Z;Tempo
0.952442;1.121638;3.137589;11:04:05
1.18924;1.137982;3.878022;11:04:06
1.216662;1.128538;3.938231;11:04:07
1.084921;1.100795;3.450042;11:04:08
0.7809743;1.067663;2.911327;11:04:09
0.5412104;1.081959;2.263043;11:04:10
0.2960538;1.08339;1.628318;11:04:11
0.06838489;1.066318;1.029449;11:04:12
-0.05292916;1.052471;0.9213805;11:04:13
0.3421115;1.091394;1.387647;11:04:14
0.6671146;1.122524;2.190333;11:04:15
1.203588;1.102717;2.96173;11:04:16
1.655437;1.137465;3.702412;11:04:17
1.965539;1.108076;4.579756;11:04:18
2.070973;1.117099;4.802392;11:04:19
1.798409;1.127285;4.492025;11:04:20
1.734965;1.101601;4.042222;11:04:21
1.526845;1.095553;3.525152;11:04:22
1.345092;1.061286;2.907372;11:04:23
0.9080222;1.064421;2.223573;11:04:24
0.4059708;1.07318;1.695042;11:04:25
-0.005838037;1.056892;1.362878;11:04:26
0.1193399;1.044374;1.366262;11:04:27
0.6021515;1.114718;1.828968;11:04:28
0.8208186;1.118852;2.444652;11:04:29
1.283511;1.100404;3.200041;11:04:30
1.581821;1.141861;4.044843;11:04:31
1.457884;1.132045;4.780254;11:04:32
1.421097;1.134627;4.959518;11:04:33
1.486526;1.121185;4.626898;11:04:34
1.576403;1.103751;4.090156;11:04:35
1.304914;1.092799;3.471495;11:04:36
0.9401269;1.088659;2.789526;11:04:37
0.5681705;1.086149;2.053606;11:04:38
0.2928498;1.067018;1.3526;11:04:39
0.001145005;1.050252;0.7698009;11:04:40
0.04091364;1.067474;0.8605011;11:04:41
0.437813;1.116584;1.605028;11:04:42
0.6348747;1.097211;2.309473;11:04:43
1.123472;1.113849;3.101536;11:04:44
1.399822;1.108013;4.002787;11:04:45
1.297826;1.165762;4.860943;11:04:46
0.8043483;1.136522;5.042367;11:04:47
0.5466487;1.160345;5.149522;11:04:48
0.9435751;1.138481;5.126238;11:04:49
1.350279;1.094337;4.74462;11:04:50
1.438887;1.084377;3.91373;11:04:51
1.141407;1.075778;3.023191;11:04:52
0.5942452;1.107332;2.184234;11:04:53
0.244624;1.071006;1.394707;11:04:54
-0.02702224;1.030847;0.8681059;11:04:55
0.1492357;1.091605;1.290967;11:04:56
0.1634399;1.076558;1.988005;11:04:57
-0.4403849;1.10248;2.673198;11:04:58
-1.153298;1.091032;3.319391;11:04:59
-1.684505;1.126377;4.118513;11:05:00
-2.14711;1.148848;4.818067;11:05:01
-2.39838;1.133135;5.12179;11:05:02
-1.949759;1.096802;4.740615;11:05:03
-1.616902;1.076665;4.156029;11:05:04
-1.111557;1.045056;3.487537;11:05:05
-0.6353462;1.077938;2.817952;11:05:06
-0.1166354;1.09808;2.06204;11:05:07
-0.07626933;1.053912;1.286609;11:05:08
0.06909704;1.080217;1.161709;11:05:09
0.3246625;1.118071;1.412241;11:05:10
0.5403605;1.123297;1.409858;11:05:11
0.6776345;1.1041;1.382092;11:05:12
0.5828851;1.090696;1.196786;11:05:13
0.6901708;1.120466;1.315813;11:05:14
0.787489;1.115354;1.721226;11:05:15
0.800394;1.141296;2.14453;11:05:16
0.5283606;1.119598;2.269027;11:05:17
-0.2063518;1.117543;2.779541;11:05:18
-1.116899;1.110539;3.229568;11:05:19
-1.953222;1.121331;3.34988;11:05:20
-2.534148;1.089652;3.321821;11:05:21
-1.954944;1.095407;3.438521;11:05:22
-1.391518;1.094712;3.295373;11:05:24
-0.6868029;1.074956;2.881056;11:05:25
-0.1835393;1.079746;2.235283;11:05:26
-0.09264088;1.062185;1.597989;11:05:27
0.1879781;1.093993;1.597455;11:05:28
0.404963;1.115991;1.606739;11:05:29
0.4454097;1.107779;1.626693;11:05:30
0.4878429;1.113694;2.048127;11:05:31
0.2076836;1.056554;2.531952;11:05:32
0.1378494;1.051495;2.778598;11:05:33
0.1037626;1.061528;2.8269;11:05:34
0.07326788;1.097695;2.85021;11:05:35
0.002955377;1.065531;2.935489;11:05:36
-0.03892815;1.030301;3.031257;11:05:37
-0.08684433;1.069228;2.994238;11:05:38
-0.04721409;1.07633;2.985046;11:05:39
0.001666844;1.076367;2.921901;11:05:40
0.04537159;1.052202;2.770678;11:05:41
0.03650594;1.135782;2.678703;11:05:42
0.1141544;1.151022;2.577653;11:05:43
0.2006248;1.13802;2.35525;11:05:44
0.1936647;1.138659;2.315714;11:05:45
0.1926483;1.138599;2.283772;11:05:46
0.2050769;1.14254;2.283496;11:05:47
0.2156798;1.140884;2.287936;11:05:48
0.2214993;1.137548;2.301414;11:05:49
0.2262219;1.136269;2.303819;11:05:50
0.2109922;1.139624;2.318595;11:05:51
0.1905832;1.144122;2.256311;11:05:52
0.1878073;1.140599;2.280094;11:05:53
0.2083594;1.071471;2.534869;11:05:54
