X;Y;Z;Tempo
-0.04005611;0.9166387;1.809297;11:09:16
0.184306;0.9941726;1.881295;11:09:17
0.6621362;1.076944;2.512717;11:09:18
0.8833927;1.086064;3.229473;11:09:19
1.100323;1.121;3.974694;11:09:20
1.289035;1.118584;4.729673;11:09:21
1.499526;1.126462;5.04091;11:09:22
1.486514;1.125929;5.061949;11:09:23
1.366539;1.114058;4.885399;11:09:24
1.440924;1.099294;4.580337;11:09:25
1.331538;1.091675;4.306922;11:09:26
1.342302;1.089288;3.80934;11:09:27
1.134487;1.078334;3.114046;11:09:28
0.7751303;1.056531;2.527586;11:09:29
0.2751708;1.034439;2.21273;11:09:30
-0.02783537;0.9502832;1.870366;11:09:31
-0.05988908;0.9226108;1.812308;11:09:32
0.4954307;1.069694;2.21206;11:09:33
0.8220587;1.077047;2.733416;11:09:34
1.09735;1.09722;3.396286;11:09:35
1.201556;1.115875;4.352845;11:09:36
1.185229;1.110216;5.382431;11:09:37
1.123849;1.073878;6.244547;11:09:38
1.10726;1.041559;6.454683;11:09:39
1.11536;1.071556;6.254652;11:09:40
1.169881;1.076988;6.017823;11:09:41
1.224358;1.075582;5.441155;11:09:43
1.180213;1.075626;4.708715;11:09:44
1.152159;1.060381;3.885225;11:09:45
1.26076;1.049508;3.099228;11:09:46
0.9194413;1.062993;2.505424;11:09:47
0.4632416;1.037121;2.047132;11:09:48
0.1556089;0.9454888;1.772223;11:09:49
0.1809556;0.9728173;1.765708;11:09:50
0.5524206;1.083383;1.858226;11:09:51
0.4691694;1.106694;1.941514;11:09:52
0.7156349;1.109853;2.067313;11:09:53
0.8886009;1.108677;1.887931;11:09:54
1.029581;1.111346;1.835794;11:09:55
1.024864;1.125183;1.778658;11:09:56
0.9534942;1.126769;1.976549;11:09:57
1.061509;1.123137;1.965748;11:09:58
1.108487;1.140192;1.950767;11:09:59
0.9778165;1.124789;1.93793;11:10:00
0.9351096;1.104632;1.932442;11:10:01
0.8030734;1.130788;1.951782;11:10:02
1.229846;1.129095;1.999149;11:10:03
1.810818;1.10493;1.975524;11:10:04
1.989112;1.108406;2.275486;11:10:05
2.283428;1.137782;2.654829;11:10:06
2.395674;1.136954;2.821422;11:10:07
2.236847;1.135207;2.639039;11:10:08
2.196022;1.113991;2.448948;11:10:09
1.727884;1.097049;2.300278;11:10:10
1.149643;1.086684;2.222517;11:10:11
0.5921828;1.047259;2.006582;11:10:12
0.202226;0.9643879;1.838605;11:10:13
0.2185296;0.9861258;1.830402;11:10:14
0.9323807;1.096138;1.936703;11:10:15
1.501424;1.11207;2.017576;11:10:16
1.998149;1.106258;2.037842;11:10:17
2.200033;1.132938;2.057003;11:10:18
2.281146;1.135608;1.981315;11:10:19
2.7515;1.13096;2.10064;11:10:20
3.178322;1.116643;2.049306;11:10:21
3.215822;1.120746;2.054655;11:10:22
3.244967;1.106321;2.03656;11:10:23
3.270083;1.086935;2.12867;11:10:24
3.420333;1.092753;2.277661;11:10:25
3.477198;1.085565;2.301118;11:10:26
3.425194;1.103132;2.273242;11:10:27
2.896307;1.121457;2.178566;11:10:28
2.40277;1.095522;2.079936;11:10:29
1.825512;1.083583;1.985162;11:10:30
1.282924;1.067684;1.899042;11:10:31
0.7096204;1.031718;1.948246;11:10:32
0.3132708;0.9781745;1.98304;11:10:33
0.3029886;0.9664751;1.974899;11:10:34
0.4058242;1.010203;1.914016;11:10:35
0.6869028;1.065532;1.959396;11:10:36
0.7560856;1.079533;2.046205;11:10:37
0.7308816;1.07511;2.018923;11:10:38
0.7601577;1.07205;1.981623;11:10:39
0.8402917;1.077065;1.90165;11:10:40
0.9113305;1.095038;1.940555;11:10:41
1.374087;1.090379;2.175455;11:10:42
1.912902;1.105232;2.148098;11:10:43
2.411565;1.114872;2.188488;11:10:44
2.64268;1.129387;2.275814;11:10:45
2.723399;1.153038;2.250288;11:10:46
2.956238;1.151801;2.634845;11:10:47
3.400929;1.134517;3.140823;11:10:48
3.528118;1.108295;3.715545;11:10:49
3.524141;1.106216;4.280847;11:10:50
3.486716;1.101581;4.39224;11:10:51
3.459907;1.104943;4.34129;11:10:52
3.458538;1.089265;4.368344;11:10:53
3.500311;1.130679;4.223132;11:10:54
3.862895;1.129172;4.270992;11:10:55
4.021784;1.135904;4.28269;11:10:56
4.114081;1.145214;4.466588;11:10:57
4.307366;1.126686;4.544141;11:10:58
4.25271;1.133877;4.552122;11:10:59
4.279412;1.129773;4.553256;11:11:00
4.161793;1.112667;4.388683;11:11:01
4.060098;1.103194;4.20363;11:11:02
3.777199;1.09464;3.813093;11:11:03
3.642934;1.079082;3.356221;11:11:04
3.416425;1.069766;2.88007;11:11:05
2.899242;1.085539;2.630189;11:11:06
2.306504;1.0576;2.519743;11:11:07
1.82035;1.06171;2.517278;11:11:08
1.754684;1.075357;2.477895;11:11:09
1.887284;1.12441;2.563068;11:11:10
2.486906;1.135626;2.649739;11:11:11
2.946007;1.123398;2.812523;11:11:12
3.433819;1.121886;3.191658;11:11:13
3.632198;1.135321;3.678419;11:11:14
3.785023;1.119669;4.064781;11:11:15
3.802578;1.11674;4.129718;11:11:16
3.792645;1.125369;4.065547;11:11:17
3.802145;1.120892;4.074653;11:11:18
3.802659;1.112899;4.072618;11:11:19
3.811461;1.112956;4.109749;11:11:20
3.828495;1.119509;4.14202;11:11:22
3.630002;1.110832;4.228376;11:11:23
3.613694;1.115963;4.235989;11:11:24
3.595353;1.113547;4.240036;11:11:25
