X;Y;Z;Tempo
0.2544731;0.9525889;1.753938;10:51:56
-0.04538319;0.9317522;1.327277;10:51:57
-0.02577901;0.9278805;1.183298;10:51:58
-0.03129992;0.9259285;1.160734;10:51:59
0.008021146;0.9104853;1.074003;10:52:00
0.01985696;0.9105428;1.07021;10:52:01
0.007815868;0.927615;1.448336;10:52:02
-0.05254829;0.9123664;1.73895;10:52:03
0.09744051;0.9233229;2.064293;10:52:04
0.3129735;0.9403831;2.250731;10:52:05
0.3824587;0.938565;2.227744;10:52:06
0.3687541;0.9456792;2.082162;10:52:07
0.1542959;0.9333062;1.839498;10:52:08
0.1274788;0.9385485;1.330302;10:52:09
-0.03830647;0.9299499;0.9095864;10:52:10
-0.145494;0.8876895;0.7319093;10:52:12
-0.1781194;0.9218369;0.8270574;10:52:13
0.09030038;0.967415;1.320709;10:52:14
-0.01093483;0.9590425;1.219951;10:52:15
0.1684086;0.9693024;1.402481;10:52:16
0.07734787;0.9645425;1.524376;10:52:17
0.1060319;0.9614222;1.580151;10:52:18
0.1041154;0.9655015;1.566025;10:52:19
0.1106661;0.962464;1.562928;10:52:20
0.1189003;0.9647385;1.57987;10:52:21
0.109375;0.9625193;1.593284;10:52:22
0.1162483;0.962463;1.589172;10:52:23
0.1249633;0.9618419;1.602279;10:52:24
0.1350276;0.9658693;1.600918;10:52:25
0.1403383;0.9657575;1.588213;10:52:26
0.1343725;0.965884;1.585836;10:52:27
0.01906621;0.9091561;1.599394;10:52:28
0.4087111;0.9621972;1.821337;10:52:29
0.54514;0.9691838;2.262527;10:52:30
0.7183082;0.9684977;2.7163;10:52:31
1.100982;0.9590198;3.212615;10:52:32
1.482498;0.954494;3.818415;10:52:33
1.51859;0.9660494;4.185313;10:52:34
1.623492;0.9672497;4.306912;10:52:35
1.673171;0.9594674;3.905282;10:52:36
1.370543;0.9566663;3.505702;10:52:37
0.9271924;0.9537619;2.946384;10:52:38
0.4484171;0.9476485;2.299918;10:52:39
0.00189805;0.9443594;1.750436;10:52:40
-0.25596;0.9419184;1.55751;10:52:41
-0.2724687;0.9391858;1.526577;10:52:42
-0.1422282;0.9144264;1.546898;10:52:43
-0.03034681;0.8956242;1.587465;10:52:44
-0.06739682;0.9057566;1.641136;10:52:45
0.1596342;0.9576589;2.192534;10:52:46
0.4959838;0.9699131;2.376865;10:52:47
0.2536527;0.9555962;2.918415;10:52:48
-0.3210464;0.95753;3.158272;10:52:49
-1.010478;0.9618583;3.390538;10:52:50
-1.577436;0.9701989;3.652716;10:52:51
-1.893337;0.9636123;3.927808;10:52:52
-1.976427;0.9641994;3.89583;10:52:53
-1.592755;0.9464047;3.560533;10:52:54
-1.04152;0.9482818;3.317605;10:52:55
-0.5057523;0.9411014;2.955519;10:52:56
-0.2578538;0.9530222;2.2904;10:52:57
-0.2307253;0.9454898;1.665463;10:52:58
-0.4196437;0.9217039;1.374722;10:52:59
-0.434679;0.9153877;1.354883;10:53:00
-0.2240548;0.9676987;1.48198;10:53:01
0.04514259;0.9630886;1.818753;10:53:02
0.05118671;0.9795224;2.226276;10:53:03
-0.2017718;0.9628378;2.835206;10:53:04
-0.8691509;0.9413619;3.280252;10:53:05
-1.597927;0.9385927;3.557847;10:53:06
-2.174806;0.9518822;4.142158;10:53:07
-2.485944;0.9564778;4.771018;10:53:08
-2.497166;0.9484553;5.055775;10:53:09
-2.21405;0.9469593;4.573532;10:53:10
-2.235892;0.9089578;4.173813;10:53:11
-1.856943;0.9274402;3.736181;10:53:12
-1.364064;0.9379749;3.501849;10:53:13
-0.8507603;0.9372385;3.127496;10:53:14
-0.5066056;0.9287196;2.640389;10:53:15
-0.3716903;0.9419441;2.166212;10:53:16
-0.2149096;0.9234913;1.69421;10:53:17
-0.2386837;0.9181042;1.626837;10:53:18
-0.3242308;0.9589832;2.007777;10:53:19
-0.5683615;0.9561245;2.612126;10:53:20
-1.038825;0.9453791;3.231282;10:53:21
-1.66749;0.9691716;3.84236;10:53:22
-2.186677;0.9523807;4.467334;10:53:23
-2.400215;0.9574479;4.797065;10:53:24
-2.341443;0.969344;4.820469;10:53:25
-2.094022;0.9621709;4.470071;10:53:26
-2.076813;0.9524829;4.209991;10:53:27
-1.852445;0.9363887;4.073994;10:53:28
-1.86337;0.9216727;3.766675;10:53:29
-1.538453;0.8972234;3.598112;10:53:30
-1.093835;0.910365;3.296414;10:53:31
-0.7358873;0.9222621;2.88699;10:53:32
-0.4146228;0.93515;2.520294;10:53:33
-0.1792863;0.9385568;2.072474;10:53:34
-0.1047348;0.936806;1.678487;10:53:35
0.205736;0.9018646;1.221576;10:53:36
0.2306651;0.9055558;0.8257031;10:53:37
0.2244622;0.9263892;0.9164968;10:53:38
0.4397802;0.9727141;1.460665;10:53:39
0.2203577;0.9717318;1.685924;10:53:40
0.1875415;0.95099;2.127304;10:53:41
-0.2036464;0.9504312;2.719278;10:53:42
-0.760546;0.9170262;3.199257;10:53:43
-1.337428;0.9267495;3.575866;10:53:44
-1.733609;0.9221028;4.146344;10:53:45
-1.514187;0.9621144;4.673299;10:53:46
-1.158349;0.9793923;5.017666;10:53:47
-0.7669539;0.9838589;5.320012;10:53:48
-0.5071179;0.9961737;5.307379;10:53:49
-0.6582102;0.9992167;5.434987;10:53:50
-1.076568;0.9774046;5.259565;10:53:51
-1.285498;0.9474077;4.896444;10:53:52
-1.566823;0.9497329;4.360038;10:53:53
-1.597749;0.9338529;3.800976;10:53:54
-1.184553;0.9468913;3.29023;10:53:55
-0.6539984;0.9537355;2.850725;10:53:56
-0.268585;0.9454655;2.334215;10:53:57
0.08618173;0.9393197;1.73229;10:53:58
0.1705654;0.9164969;1.253162;10:53:59
0.1316347;0.9128541;1.204174;10:54:00
0.1347024;0.9211531;1.215707;10:54:01
0.1683663;0.9386969;1.318411;10:54:02
0.2610842;0.9454815;1.494468;10:54:03
0.0988768;0.9294187;1.297272;10:54:04
0.2015539;0.9557341;1.585174;10:54:05
0.06867847;0.9501226;2.031988;10:54:06
0.2452531;0.9437069;1.968701;10:54:07
0.1930275;0.9147319;1.574151;10:54:08
0.1311349;0.9196879;1.436682;10:54:09
0.09362516;0.9120284;1.407282;10:54:10
0.05369884;0.8996713;1.388951;10:54:11
0.07204553;0.9729198;2.027713;10:54:12
0.1061129;0.9550257;2.544046;10:54:13
-0.0457218;0.9786159;2.500311;10:54:14
-0.07521898;0.9761193;2.539538;10:54:16
-0.06077817;0.9715775;2.544761;10:54:17
-0.05669406;0.9700244;2.54462;10:54:18
-0.06622124;0.9713177;2.540016;10:54:19
-0.05939651;0.9687817;2.541211;10:54:20
-0.05455378;0.9709268;2.517805;10:54:21
-0.2808738;0.9785542;2.721499;10:54:22
-0.3812931;0.9729916;3.114458;10:54:23
-0.9323969;0.9589032;3.217994;10:54:24
-1.423917;0.9569589;3.381078;10:54:25
-1.854849;0.9356169;3.681701;10:54:26
-1.99022;0.9485974;4.179174;10:54:27
-1.887814;0.9710114;4.56422;10:54:28
-1.624302;0.973851;4.610551;10:54:29
-1.555771;0.9677907;4.77;10:54:30
-1.505834;0.968873;4.771478;10:54:31
-1.121907;0.9298123;5.134181;10:54:32
-0.3954557;0.9696516;5.375754;10:54:33
0.400393;0.9768215;5.511414;10:54:34
0.9140327;0.96065;5.545147;10:54:35
1.00123;0.9697148;5.380241;10:54:36
1.362437;0.9532524;5.308014;10:54:37
1.591777;0.9460627;4.844601;10:54:38
1.583977;0.9511734;4.171919;10:54:39
1.405807;0.9361154;3.48102;10:54:40
1.078907;0.9325547;2.875063;10:54:41
0.5833538;0.9599004;2.304003;10:54:42
0.3231413;0.9435785;1.652835;10:54:43
0.1685501;0.9087886;1.217243;10:54:44
0.2066804;0.9352109;1.08737;10:54:45
0.2223443;0.933952;1.023875;10:54:46
0.2249168;0.9201009;1.00278;10:54:47
0.2538304;0.9251214;1.014071;10:54:48
0.2819731;0.9010047;1.042238;10:54:49
0.4192507;0.8963442;1.425363;10:54:50
0.6988453;0.8905867;1.256485;10:54:51
0.8321275;0.8796155;1.429202;10:54:52
0.7327289;0.9515926;1.058242;10:54:53
0.7611457;0.9637678;1.112722;10:54:54
0.8266129;0.9669877;1.133086;10:54:55
0.8745705;0.9672393;1.132155;10:54:56
0.8678012;0.9641957;1.140987;10:54:57
0.7515432;0.9546985;1.162724;10:54:58
0.5380927;0.9462365;1.03083;10:54:59
0.3022522;0.9297971;1.156579;10:55:00
0.2792284;0.9348863;1.19953;10:55:01
0.6281978;0.9472781;1.118955;10:55:02
0.9259682;0.9758239;1.249938;10:55:03
0.8858143;0.9754433;1.271707;10:55:04
0.8937066;0.9709181;1.289125;10:55:05
0.8647354;0.9757243;1.21981;10:55:06
0.9168135;0.9707018;1.310863;10:55:07
0.6481063;0.9359254;1.444525;10:55:08
0.8892556;0.9826868;1.542227;10:55:09
0.901132;0.9627015;1.671908;10:55:10
0.5953845;0.9357425;1.990626;10:55:11
0.5873694;0.9397084;2.507906;10:55:12
0.5569153;0.9509333;2.887305;10:55:13
0.4775014;0.9636074;2.975275;10:55:14
0.6208988;0.9721998;2.997701;10:55:15
0.6383042;0.9723268;3.005719;10:55:16
0.6665981;0.9716647;2.997187;10:55:17
0.5488181;0.9488363;3.045849;10:55:18
0.4946185;0.9755707;3.082535;10:55:19
